Date,Close,High,Low,Open,Volume,Daily Return,SMA_7,SMA_21,Volatility
Ticker,,^NSEI,^NSEI,^NSEI,^NSEI,,,,
Date,,^NSEI,^NSEI,^NSEI,^NSEI,,,,
2025-08-20,25050.55078125,25088.69921875,24929.69921875,24965.80078125,287100,,,,
2025-08-21,25083.75,25153.650390625,25054.900390625,25142.0,226500,0.0013252889742787488,,,
2025-08-22,24870.099609375,25084.849609375,24859.150390625,25064.150390625,210200,-0.008517482060098724,,,
2025-08-25,24967.75,25021.55078125,24894.349609375,24949.150390625,213000,0.003926417350905487,,,
2025-08-26,24712.05078125,24919.650390625,24689.599609375,24899.5,750500,-0.010241179872034878,,,
